@relation 'generators.RandomRBFGenerator -a 20'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute class {class1,class2}

@data
0.375395,0.683624,0.437262,0.260128,0.420442,0.206496,1.002,0.362305,0.891832,0.046614,0.741321,0.592233,0.03008,0.370655,0.115461,0.217454,0.468483,0.943532,0.253751,0.632417,class1
0.8397,0.270632,0.735373,0.902691,0.621264,0.270467,0.4006,0.682741,0.302951,0.3153,0.381973,0.573035,0.659298,0.195937,0.604394,0.263586,0.544195,0.735675,0.012746,0.236549,class1
0.840308,0.129824,0.43165,0.158112,0.760394,0.749244,0.621999,0.846504,0.544445,0.163188,0.28386,1.055349,0.825102,0.917418,0.09464,0.668136,0.13859,0.252708,0.526351,0.717166,class2
0.671446,0.40781,-0.010512,0.589908,0.390045,0.743112,0.512775,0.760589,0.610429,1.117842,0.010685,0.33537,-0.063985,0.71235,0.540653,0.804414,0.290994,0.558384,0.158241,0.603546,class2
0.207513,0.72467,0.404879,0.219981,0.787173,0.1059,1.071877,0.468022,-0.015706,-0.067133,0.469288,0.706084,0.301029,0.25621,0.451163,1.032712,0.397165,0.945777,0.522473,0.247126,class1
0.60332,0.652915,0.580538,0.086206,0.320328,1.006103,0.186818,0.90921,0.092361,0.044948,0.350946,0.723643,0.260829,0.789208,0.504879,0.903259,0.712237,0.088646,0.519433,0.527517,class2
0.137869,0.484826,0.534775,0.344961,0.412455,0.719113,0.164258,0.707006,0.919417,0.748438,0.11779,0.448746,0.331086,0.623351,0.380259,0.914319,0.306431,0.837934,0.459254,0.086362,class1
0.375157,0.273387,-0.071575,0.138266,0.526308,0.538879,0.577233,0.285481,0.93427,0.655053,0.853334,0.084268,0.085487,0.354715,0.82111,0.411806,0.536968,0.205351,-0.077122,0.924586,class1
0.649998,0.263514,0.380336,0.027865,0.680728,0.627045,0.635803,0.974065,0.653032,0.19521,0.178125,0.898044,0.989349,0.77222,0.183774,0.819951,0.135105,0.187794,0.532501,0.620578,class2
0.094753,0.992561,0.424515,0.268603,0.072441,0.996653,0.631606,0.76032,0.846681,0.455743,0.461025,0.125772,0.642823,0.375826,0.292904,0.807697,0.01416,0.784493,0.654394,0.901845,class2
0.909047,0.057587,-0.001059,0.583037,-0.097131,0.708861,0.772711,1.033494,0.846348,0.715414,0.545734,0.488463,0.402732,0.091135,0.296653,0.534625,0.436051,0.609751,0.732077,0.029305,class2
0.629533,0.71563,0.411636,0.132887,0.408021,0.963912,0.198482,1.116535,0.257506,0.08491,0.548674,0.565167,0.393679,0.618225,0.428549,0.794723,0.875427,0.222114,0.692871,0.371683,class2
0.866262,0.29924,0.795847,0.911535,0.589256,0.293031,0.411321,0.667811,0.29224,0.310513,0.42729,0.550597,0.687857,0.198377,0.6576,0.21176,0.598599,0.702535,0.015312,0.205623,class1
0.389482,0.738177,0.331671,0.973085,0.081432,0.21616,0.937032,0.524828,0.950697,0.104575,0.688904,0.499188,0.328108,0.077313,0.739845,0.271703,0.418256,0.628012,0.258289,0.65874,class2
0.856776,0.295113,0.782571,0.903961,0.63044,0.264277,0.379675,0.676345,0.321859,0.302399,0.407985,0.580046,0.697633,0.197499,0.592596,0.278056,0.539703,0.711782,0.032437,0.217308,class1
0.756754,0.513026,0.769586,0.955661,0.128604,0.346797,0.478232,0.251878,0.601971,0.282416,0.952877,0.209028,0.438299,0.042796,0.852635,0.211321,0.313075,0.100091,0.336542,0.37822,class1
0.85287,0.022469,0.70544,0.275562,0.076542,0.611497,0.954247,0.274605,0.190903,0.000558,0.682189,0.484699,0.48802,0.127917,0.131337,0.206707,0.843892,0.406116,0.949146,0.521856,class1
0.298396,0.69496,0.951559,0.048251,0.125425,0.992101,0.965099,0.953684,0.379913,0.833073,0.264911,0.491095,0.704259,0.923456,0.432474,1.009115,0.913634,0.887859,0.740182,0.53688,class1
0.897188,0.168812,0.862511,0.905564,0.203613,0.897108,0.25684,0.559696,0.71751,0.838675,0.37956,0.21928,0.511153,0.658031,0.052015,0.664662,0.34581,0.820188,0.892965,0.085322,class1
0.876898,0.242466,0.765094,0.93312,0.598117,0.23675,0.375558,0.644437,0.26211,0.316849,0.411733,0.566168,0.718465,0.205787,0.603942,0.281079,0.546157,0.762906,0.06443,0.201651,class1
0.573776,0.27163,0.896436,0.811578,0.066095,0.986912,1.021699,0.167183,0.501336,0.909299,0.330579,0.299196,0.028321,0.455152,0.13843,0.21022,0.983777,0.225712,0.247785,0.914818,class1
0.501491,0.307982,0.347783,0.932035,1.064782,0.283086,0.224618,0.640419,-0.093174,0.545291,0.67083,0.635048,0.233554,0.351026,0.264132,0.170441,1.028639,0.152683,0.081486,0.448877,class2
0.899511,0.514092,0.016001,0.749031,1.058708,0.102485,0.775595,0.667389,0.787463,0.718265,0.082276,1.059891,0.253853,0.00754,0.632733,0.225315,0.705699,0.10698,0.604171,0.519874,class2
0.061275,0.812818,0.37259,0.389975,0.636579,0.082884,0.836323,0.333354,0.100759,-0.070678,0.373667,0.755638,0.164157,0.24557,0.636688,0.859,0.473318,0.925881,0.262321,0.027239,class1
0.751475,0.278601,0.368141,-0.025765,0.676146,0.585743,0.649715,0.929682,0.657817,0.136928,0.175106,0.955382,0.896245,0.764374,0.137474,0.73431,0.135845,0.10629,0.577339,0.646703,class2
0.447948,0.58549,0.114789,0.876549,0.220503,0.963444,0.635638,0.581396,0.808433,1.047578,0.085965,0.442414,0.13221,0.628696,0.366406,0.762482,0.388798,0.295501,0.180248,0.532101,class2
0.811517,0.29004,0.745293,0.912651,0.605269,0.239262,0.439916,0.672077,0.277072,0.33025,0.39785,0.527072,0.646111,0.202296,0.631345,0.265626,0.573615,0.747253,0.052638,0.203125,class1
0.840626,0.278519,0.719797,0.964985,0.545896,0.217394,0.425627,0.58105,0.258363,0.366161,0.421377,0.549524,0.688978,0.258673,0.629645,0.184844,0.56398,0.709842,0.069172,0.288271,class1
0.902291,0.057999,0.613303,0.510268,-0.00936,-0.00002,0.720287,0.410338,0.613414,0.276342,0.150772,0.045224,0.394577,0.692401,0.125022,0.410477,0.878659,0.275836,0.855231,0.862022,class1
0.300645,0.654572,0.538268,0.332538,0.334831,0.245218,1.005299,0.407863,0.956103,0.088207,0.68675,0.651646,0.03462,0.43664,0.112514,0.154918,0.435464,0.896606,0.313519,0.677571,class1
0.903881,0.585096,0.397929,0.899631,0.954207,0.390665,0.190828,0.65771,-0.078069,0.810164,1.029291,0.690541,-0.027052,0.173002,0.418066,0.223697,0.806967,0.336191,-0.082578,0.625012,class2
0.305433,0.732814,0.398192,0.325481,0.470378,0.235082,0.940733,0.355005,0.921488,0.003317,0.703838,0.617871,0.040261,0.298221,0.125095,0.167632,0.441874,0.951246,0.203826,0.650318,class1
0.535151,0.286984,0.829199,0.787825,0.095032,0.914705,0.939571,0.24463,0.397029,0.846797,0.42325,0.389159,0.142466,0.408927,0.198321,0.120179,0.909919,0.282756,0.229941,0.933801,class1
0.486083,0.129766,0.483131,0.649203,0.101542,0.934183,0.498356,0.111035,0.45858,1.000877,0.379575,0.228512,0.57802,0.596462,0.733819,0.140386,0.812883,0.072466,0.912252,0.387976,class1
0.267669,0.613968,0.411245,0.227371,0.660334,0.936714,0.857478,0.35273,0.131635,0.118528,0.449733,1.056032,0.545482,0.731816,0.149965,0.400962,0.020503,0.227138,0.177809,0.744595,class1
0.826812,0.023817,0.117019,0.070705,0.884829,0.427252,1.007657,0.407157,0.543513,0.591995,0.912477,0.310899,0.674549,0.667296,0.437326,0.099768,0.289925,0.617055,1.025099,0.312188,class1
0.329712,0.72752,0.907415,0.056217,0.035575,1.033644,0.966849,0.972174,0.402989,0.821912,0.201475,0.467156,0.788132,0.848056,0.488085,0.936514,0.840893,0.89415,0.774051,0.506689,class1
0.879467,0.707409,0.53549,0.613919,0.652442,0.993953,0.408012,0.095706,0.024987,0.885366,0.722973,0.036646,0.4923,0.767864,0.635979,0.348749,0.708065,0.320642,0.587593,0.943797,class1
0.636766,0.924793,-0.250706,-0.173506,0.381273,0.573037,0.515196,1.235444,1.14655,-0.152026,-0.016301,0.228151,0.72772,0.376801,1.07459,0.601707,0.862822,0.317575,0.934761,0.666504,class2
0.203627,0.673433,0.367333,0.345262,0.691331,0.84647,0.928937,0.387122,0.145354,0.181573,0.409893,0.95609,0.604377,0.669836,0.16628,0.386399,0.070739,0.311546,0.179567,0.691854,class1
0.616319,0.664335,0.591867,-0.149418,0.541598,1.013038,0.263923,0.833636,0.031738,0.14656,0.474478,0.818489,0.042698,0.664181,0.654934,0.983343,0.558614,0.195387,0.508886,0.388226,class2
0.052253,0.910557,0.123936,0.522704,0.814375,0.019145,0.693651,0.639114,0.879325,0.038086,0.369558,0.692801,0.165844,0.410954,0.774655,0.136431,0.218948,0.779517,0.917104,0.738247,class2
0.640731,0.680446,0.573231,0.021926,0.416084,0.967172,0.118372,0.91519,0.064357,0.07394,0.447558,0.739325,0.174023,0.758365,0.462203,0.945673,0.729766,0.057783,0.551169,0.49682,class2
0.521659,0.722639,0.51111,0.128381,0.420105,1.137943,0.222237,1.126093,0.147938,0.052752,0.512026,0.684593,0.039073,0.667847,0.432721,0.832298,0.684501,-0.027901,0.399031,0.332487,class2
0.362079,0.445739,0.138901,0.722067,0.754653,0.786361,0.954987,0.60234,0.616163,0.074683,0.801568,0.258684,0.855564,0.621994,0.882659,0.213637,0.774234,0.202688,0.064934,0.390297,class2
0.028963,0.454886,0.562648,0.137021,0.898845,0.878465,0.042717,0.746298,0.198337,0.466996,0.368965,0.197943,0.460536,0.682574,0.806568,0.696427,0.977674,0.761112,0.304061,0.509642,class1
0.812193,0.139284,0.758616,0.907871,0.254947,0.935012,-0.126221,0.262749,0.78779,0.535717,0.133747,0.278892,0.203549,0.81857,-0.143711,0.225263,-0.004326,1.117198,1.040745,-0.254073,class1
0.545304,0.635671,0.091902,0.744342,0.22442,1.069344,0.64806,0.66732,0.891208,0.864998,0.094291,0.572319,0.169892,0.793533,0.329191,0.695498,0.450203,0.261412,0.282232,0.405737,class2
0.272801,0.556447,0.056386,0.095578,0.750696,0.483407,0.638109,0.248597,0.91964,0.607491,0.746233,0.118046,0.067715,0.393245,0.953528,0.540211,0.630257,0.375093,0.171852,0.958938,class1
0.302697,0.680299,0.953143,0.058125,0.118601,0.979504,0.947258,0.937556,0.377418,0.795096,0.282738,0.502489,0.736976,0.917893,0.425972,1.015788,0.913227,0.896044,0.733881,0.547403,class1
0.637709,0.213111,0.778405,0.594758,-0.072028,0.62167,0.188816,0.444279,0.014138,0.222055,0.800835,0.155944,0.677843,0.967849,0.548015,0.696366,0.162616,0.964196,0.775787,0.54356,class1
1.146956,0.273436,0.581868,0.563474,0.231334,0.496675,-0.094013,0.440122,-0.121179,0.036403,0.864692,0.02474,0.967077,0.761728,0.465154,0.937115,0.454436,0.966864,0.732181,0.082579,class1
0.609261,0.812654,0.416768,0.93725,0.486953,0.24905,0.293578,0.009461,0.210788,0.961741,0.290324,0.489285,0.460809,0.794442,0.951391,0.470538,0.80374,0.523784,0.126377,0.554886,class1
0.669096,0.309893,0.317119,0.433931,-0.085551,0.693967,1.221849,0.653837,0.610078,0.080294,0.309219,0.723824,-0.094339,0.751718,-0.430086,-0.259717,-0.008122,1.344358,0.071121,1.123017,class1
0.778866,0.05718,0.90054,0.999128,0.369447,0.964525,0.288983,0.707305,0.54598,0.8881,0.533523,0.052565,0.396797,0.581583,0.089526,0.659855,0.559563,0.805365,1.02431,0.062021,class1
0.386131,0.246227,-0.076092,0.15652,0.793161,0.552611,0.477175,0.094808,0.930236,0.584635,0.753686,0.094531,0.372895,0.506571,0.639078,0.7308,0.47314,0.192373,0.136307,0.94544,class1
1.02406,0.645351,0.030906,0.140296,0.797772,0.694683,0.312836,1.02396,0.913483,0.285766,0.152774,0.31512,0.460922,0.401163,0.57521,0.839032,0.776194,0.075016,0.772007,0.914502,class2
0.311059,0.673512,0.663562,0.310009,0.525707,0.758507,0.165235,0.632167,0.309087,0.273904,0.138736,0.960974,0.14645,0.944578,0.343395,1.035657,0.983912,0.451318,0.667071,0.754066,class2
0.91703,0.101709,1.146167,0.672817,-0.014571,0.923607,0.280997,0.814376,0.708489,0.887731,0.430644,0.095539,0.321329,0.571523,-0.105877,0.716869,0.509607,0.731992,1.05539,-0.089282,class1
0.854553,0.712663,0.126497,0.139056,0.566462,0.874309,0.1985,0.898025,0.793398,0.263507,0.315346,0.426054,0.617011,0.333297,0.618622,0.823784,0.700756,0.193046,0.495422,0.751185,class2
0.678895,0.215518,0.34662,0.064402,0.605202,0.672039,0.601687,0.904488,0.68427,0.128185,0.214042,0.942901,0.907905,0.846146,0.190482,0.707884,0.090537,0.110903,0.593768,0.678811,class2
0.138264,0.688385,0.401434,0.71064,0.928184,0.881094,0.777645,0.563877,0.672768,0.331384,0.627472,0.286682,0.827603,0.817107,0.792844,0.223732,0.960446,0.376044,0.054925,0.601534,class2
0.725167,0.26024,0.326287,0.022877,0.642496,0.622156,0.613386,0.937211,0.677654,0.12053,0.219417,0.9165,0.908656,0.803849,0.185175,0.73867,0.104343,0.141328,0.601799,0.634251,class2
0.047716,0.39428,0.948561,0.127734,0.265194,0.706124,0.370253,0.924748,0.353081,0.431817,0.557516,0.33776,0.170204,0.978824,0.709403,0.130261,0.210238,0.880285,0.103549,0.351094,class1
0.328208,0.818056,0.232783,0.075209,0.775115,0.706833,0.973241,0.269386,0.226961,-0.001244,0.545428,0.825634,0.543903,0.488698,0.179499,0.625835,-0.060979,0.484582,0.166388,0.502532,class1
0.64866,0.834558,0.454719,0.898234,0.471673,0.228792,0.270366,0.017794,0.214378,1.004056,0.309543,0.519306,0.450816,0.804556,0.938923,0.467852,0.852921,0.48628,0.092406,0.591108,class1
0.127797,0.704819,0.65204,0.84491,0.526002,1.079043,0.458885,0.026525,0.220438,0.728755,0.048932,0.588082,0.164912,0.989324,0.056748,0.192192,0.217315,0.753823,0.420799,0.103318,class2
0.752843,0.052619,1.200433,0.765616,0.044867,0.792217,0.148316,0.558385,0.58066,0.686754,0.55324,0.314289,0.639677,0.767357,-0.161117,0.636318,0.568231,1.100837,0.711453,0.273449,class1
0.550565,0.721019,0.619407,0.06001,0.507934,0.969548,0.103014,1.000885,0.031336,-0.077089,0.283363,0.808262,0.115608,0.57485,0.415787,1.075451,0.755969,0.241003,0.555548,0.575621,class2
1.094086,-0.039667,0.224592,0.167045,-0.166143,0.9845,1.054028,1.143245,0.926273,0.802613,0.388219,0.642948,0.345904,0.362699,0.191581,0.27761,0.363976,0.72995,0.605379,-0.05497,class2
0.413785,0.360961,0.209067,0.033058,0.113634,0.538977,0.449503,0.27569,0.432022,1.126172,0.953902,0.017593,0.841442,0.480934,0.75926,-0.000177,0.272672,0.271188,0.484771,0.788464,class1
0.275327,0.719537,0.428668,0.382714,0.788751,0.834624,0.938168,0.248526,0.173431,0.123613,0.470682,0.909168,0.557321,0.811004,0.075723,0.521217,-0.036279,0.173269,0.068394,0.643823,class1
0.858458,0.033857,0.718088,0.252534,0.096419,0.636088,0.934307,0.272264,0.19693,-0.003152,0.663955,0.476511,0.488154,0.129879,0.136678,0.221429,0.864539,0.385874,0.933956,0.543426,class1
0.870192,1.030231,0.748919,0.798471,0.563573,0.511226,0.440228,0.443082,0.729272,0.366475,0.850545,0.733946,0.682991,0.541196,0.923089,0.678466,0.730822,0.836266,0.505408,0.256761,class2
0.851326,0.243616,0.778367,0.93405,0.626547,0.330451,0.368237,0.662905,0.238036,0.281474,0.397113,0.569486,0.731852,0.161949,0.650451,0.271601,0.578278,0.720248,0.082332,0.259521,class1
0.506713,0.12815,0.490876,0.68749,0.118898,0.971781,0.49062,0.091036,0.476571,0.965788,0.403702,0.192801,0.556314,0.601403,0.724461,0.138594,0.840332,0.043552,0.915272,0.388893,class1
0.820142,0.107309,0.612257,0.483587,0.104222,0.602178,0.030979,0.604381,0.073892,0.080373,0.694429,0.287113,0.596595,0.841378,0.340041,0.606579,0.305,0.862977,0.745468,0.40957,class1
0.617482,0.770175,0.356369,0.899244,0.468775,0.238697,0.279078,0.041634,0.173409,0.976116,0.309924,0.508767,0.420425,0.814967,0.979587,0.524879,0.795209,0.59222,0.121968,0.53256,class1
0.270117,0.639332,0.282659,0.28152,0.755876,0.902778,0.953184,0.347747,0.061553,0.125448,0.358972,0.923606,0.55926,0.739061,0.176287,0.458532,0.010626,0.308083,0.208684,0.701143,class1
0.948271,0.668131,0.001242,-0.032091,0.692935,0.745698,0.1719,0.858374,0.956553,0.143906,0.326286,0.450573,0.47093,0.336704,0.685047,0.644989,0.805994,0.173169,0.667634,0.829669,class2
0.763095,0.085956,0.76506,0.857549,0.410931,0.706669,0.309993,0.812071,0.552062,0.941747,0.473388,0.185745,0.624337,0.626552,0.01449,0.388118,0.180435,0.768189,0.95573,0.247676,class1
0.882129,0.682642,0.196057,0.456622,0.650858,0.003643,-0.01235,0.703005,0.670259,0.816485,0.639774,0.576089,0.889202,0.123245,1.01037,-0.052747,0.604123,0.120197,0.849229,0.459458,class1
0.913024,1.00234,0.739797,0.817972,0.583221,0.450577,0.421168,0.458251,0.66143,0.30417,0.894242,0.724062,0.712235,0.516658,0.971599,0.756913,0.734328,0.854702,0.523677,0.264799,class2
0.799578,0.181904,0.043758,0.447732,0.084177,0.683822,0.969857,1.035468,0.88339,0.539724,0.532183,0.379997,0.211153,0.069384,0.486357,0.575164,0.688392,0.37279,0.933437,0.15136,class2
0.373903,0.448099,0.168961,0.683259,0.705775,0.757196,0.934548,0.577801,0.634667,0.126141,0.78146,0.297054,0.881513,0.622691,0.913847,0.212833,0.75157,0.154073,0.056858,0.389948,class2
0.647196,0.11576,0.653327,0.991678,0.181156,0.345646,0.466033,0.31394,0.425811,0.50645,0.98951,0.626789,0.901871,0.527423,0.473577,0.435944,0.302933,0.741355,0.968844,0.200611,class1
-0.025463,0.617375,0.54767,0.338381,0.463746,0.631625,0.02962,0.545142,1.071806,0.825929,0.083895,0.54698,0.278363,0.620721,0.231806,0.899484,0.29595,0.762637,0.477048,-0.050699,class1
0.967344,0.752361,0.535598,-0.002015,0.917864,0.71756,0.770644,0.288543,0.768181,0.248835,0.614977,0.506617,0.343456,0.919391,0.608328,0.876906,0.809985,0.302044,0.744097,0.52672,class2
0.558417,0.814757,0.364021,0.923529,0.467861,0.320545,0.290536,0.002753,0.176953,1.012797,0.350432,0.539667,0.380902,0.852071,0.873843,0.545402,0.884299,0.468565,0.18256,0.518586,class1
0.693265,0.285776,0.292659,0.046947,0.620978,0.619388,0.616872,0.930012,0.702475,0.112926,0.211643,0.945808,0.892671,0.83684,0.190044,0.733107,0.129796,0.165543,0.610232,0.662376,class2
0.052794,0.910988,0.123037,0.521292,0.814952,0.017779,0.694026,0.640107,0.879617,0.039209,0.370213,0.693455,0.166098,0.410074,0.773348,0.136748,0.219626,0.779337,0.915362,0.738708,class2
0.819368,0.286631,0.733867,0.918842,0.603164,0.281664,0.406287,0.635042,0.271755,0.337473,0.414238,0.547509,0.69842,0.210926,0.613082,0.225638,0.561987,0.719402,-0.004699,0.232134,class1
0.679422,0.616907,0.404246,0.07475,0.53332,1.060078,0.087585,1.044553,0.198752,0.143888,0.26477,0.621614,0.098959,0.721127,0.368519,1.087888,0.696694,0.007719,0.399751,0.547093,class2
0.820065,0.235859,0.085155,0.487438,0.016421,0.67151,0.909491,0.98479,0.841746,0.570948,0.561306,0.384607,0.294835,0.089804,0.43696,0.547309,0.609091,0.45034,0.908316,0.179614,class2
0.773074,0.236071,0.290901,0.018742,0.602252,0.658701,0.594002,0.895162,0.692299,0.083134,0.270209,0.91963,0.879326,0.834135,0.189497,0.695003,0.078274,0.093881,0.549912,0.625454,class2
0.724899,0.39689,0.366678,-0.128351,0.561896,0.759614,0.656875,1.036381,0.614052,0.074895,0.385983,1.067336,1.077404,0.788854,0.074004,0.875317,0.20108,0.311985,0.475335,0.574964,class2
0.981604,0.651926,0.270661,0.539452,0.710619,0.06101,-0.035446,0.647155,0.747147,0.772483,0.688181,0.654562,0.958581,0.037299,1.028632,-0.003006,0.626798,0.189442,0.816942,0.513356,class1
0.847045,0.278315,0.749085,0.902641,0.611026,0.277468,0.399886,0.667676,0.284613,0.333253,0.389037,0.555171,0.676954,0.195346,0.621923,0.252915,0.571952,0.729417,0.021196,0.225468,class1
0.306851,0.604013,0.964285,0.507168,0.887042,0.929982,0.685427,0.276382,0.750441,0.876221,0.800248,0.566946,0.140337,0.587841,0.017685,0.312338,0.723837,0.013138,0.088947,0.217984,class1
0.656282,0.78662,0.314921,0.974848,0.531697,0.27798,0.217486,-0.08437,0.201373,0.943078,0.230956,0.458699,0.378691,0.834929,0.988701,0.377088,0.797429,0.549771,0.101641,0.483411,class1
0.809693,0.496127,0.828012,0.977166,0.266531,0.404848,0.454081,0.217128,0.542861,0.395617,0.905299,0.25605,0.417293,0.025783,0.932666,0.155624,0.430316,-0.011499,0.347988,0.397894,class1
0.800039,0.853408,0.433447,0.336746,0.301262,0.093999,0.564471,0.265165,0.608067,0.971567,0.64074,0.552475,0.549034,0.199058,0.987497,0.712905,0.875407,0.844264,0.785645,0.204103,class2
0.130954,0.544516,0.547482,0.363074,0.443265,0.687405,0.15526,0.71221,0.923652,0.709978,0.069548,0.436161,0.323612,0.678342,0.366361,0.937664,0.329947,0.829629,0.398249,0.066106,class1
0.458046,0.553193,0.241533,0.183471,0.625274,0.46472,0.786649,0.173159,0.043063,0.507354,0.506856,0.42802,0.546003,0.833908,0.382585,1.085284,0.630407,0.18462,0.604295,0.869357,class2
0.537516,0.118163,0.542279,0.616807,0.102946,0.982541,0.555726,0.09383,0.519905,0.943338,0.383652,0.211937,0.541125,0.631968,0.736359,0.093714,0.810095,0.084193,0.933459,0.42628,class1
0.619821,0.333518,0.821161,0.760969,0.147601,0.916553,0.865107,0.255542,0.456783,0.85772,0.425185,0.416448,0.039552,0.381503,0.159578,0.192339,0.848425,0.282305,0.224492,0.870872,class1
0.123638,0.515369,0.544574,0.386125,0.407204,0.690099,0.206081,0.675117,0.905645,0.775172,0.065957,0.460805,0.311829,0.665518,0.401563,0.904819,0.30953,0.790408,0.393346,0.047212,class1
0.367626,0.452569,0.0815,0.164667,0.816867,0.496197,0.553405,0.070654,0.026924,0.489639,0.515333,0.186465,0.523025,0.653309,0.470324,1.010325,0.735168,0.187808,0.635533,0.984315,class2
0.791457,0.714818,0.289071,0.686469,0.925286,0.530338,0.139645,0.487869,-0.088872,0.531671,1.07,0.677234,-0.17605,-0.000185,0.326688,0.092963,0.927451,0.23945,-0.097795,0.590308,class2
0.24781,0.660393,0.886645,0.080392,0.126531,0.940899,0.929416,0.96463,0.352876,0.786362,0.22358,0.456051,0.680189,0.951611,0.459784,0.94474,0.967464,0.870324,0.697796,0.584611,class1
0.563945,-0.250392,0.371395,0.388572,0.402326,0.33491,0.847158,0.087992,0.339999,0.134405,0.464475,1.066981,0.69832,-0.106702,0.528727,0.651637,0.095565,0.299835,0.44094,0.899606,class2
0.232541,0.880724,0.212058,0.388593,0.833057,0.024869,0.978669,0.535401,0.156177,-0.188272,0.484212,0.628205,0.350805,-0.012337,0.597774,0.670986,0.28271,0.893414,0.082401,0.150497,class1
0.57416,0.299285,0.868933,0.752289,0.077501,0.905665,0.970479,0.236001,0.396832,0.84378,0.454631,0.415065,0.111555,0.400166,0.180902,0.075893,0.912085,0.254057,0.229672,0.933671,class1
0.408592,0.451915,0.167389,0.605279,0.647995,0.745323,0.788801,0.61123,0.629066,-0.015322,0.780598,0.201635,0.864775,0.723985,0.956053,0.336617,0.779679,0.15722,0.082361,0.327195,class2
0.925969,0.989484,0.733795,0.815754,0.587583,0.448284,0.415047,0.473485,0.676059,0.313782,0.887094,0.725999,0.716279,0.527646,0.969758,0.751791,0.736469,0.850451,0.533261,0.267203,class2
0.432335,0.560843,0.069058,0.812777,0.162913,0.952482,0.673539,0.599013,0.791408,0.959065,0.089111,0.470843,0.064329,0.69091,0.322345,0.803491,0.438678,0.343154,0.166916,0.550536,class2
0.255254,0.67865,0.319261,0.222257,0.63697,0.892652,0.997088,0.378035,0.157274,0.11232,0.368235,0.932536,0.60439,0.709265,0.136587,0.344033,0.08897,0.352783,0.225602,0.754193,class1
0.848361,0.267389,0.762179,0.899548,0.624706,0.278442,0.410522,0.672148,0.296196,0.319946,0.391481,0.572485,0.68356,0.177876,0.609354,0.253013,0.566416,0.739134,0.030846,0.224777,class1
0.801883,0.107498,0.613065,0.457071,0.118242,0.698759,-0.015299,0.481109,0.171135,0.212723,0.656494,0.39137,0.688002,0.727118,0.463839,0.525106,0.19546,0.939361,0.837225,0.354282,class1
0.074995,0.516339,0.549698,0.332086,0.431768,0.691279,0.160101,0.703655,0.911304,0.776585,0.094888,0.440835,0.341845,0.649576,0.355358,0.913447,0.286734,0.835077,0.393021,0.077934,class1
0.547705,0.548108,0.230622,0.943384,0.32898,0.917081,0.767071,0.625343,0.869538,1.01829,0.095796,0.60014,0.167917,0.57957,0.431445,0.802585,0.496893,0.25113,0.312859,0.643153,class2
